TractNum,Location,Total Unsheltered,Total Sheltered,Total Population
207102,Historic Cultural NC,196.97,39,235.97
207103,Historic Cultural NC,6.104,0,6.104
207301,Skid Row,117.59,352,469.59
207302,Skid Row,76.373,0,76.373
207400,Downtown Los Angeles NC,183.7,0,183.7
207501,Downtown Los Angeles NC,23.197,0,23.197
207502,Downtown Los Angeles NC,34.535,0,34.535
207710,Downtown Los Angeles NC,211.68,97,308.68
207900,Downtown Los Angeles NC,99.456,0,99.456
208000,Greater Echo Park Elysian NC,53.742,0,53.742
208301,Westlake North NC,2.701,0,2.701
208302,Westlake North NC,15.823,112,127.82
208401,Greater Echo Park Elysian NC,8.694,0,8.694
208402,Greater Echo Park Elysian NC,68.081,0,68.081
208501,Greater Echo Park Elysian NC,42.949,0,42.949
208502,Greater Echo Park Elysian NC,8.447,0,8.447
208610,Rampart Village NC,19.974,97,116.97
208620,Rampart Village NC,21.358,0,21.358
208710,Rampart Village NC,10.648,0,10.648
208720,MacArthur Park NC,33.704,0,33.704
208801,MacArthur Park NC,77.216,0,77.216
208802,MacArthur Park NC,27.207,124,151.21
208902,Westlake South NC,34.158,0,34.158
208903,Westlake South NC,75.272,16,91.272
208904,Westlake North NC,11.703,0,11.703
209102,Westlake South NC,24.062,0,24.062
209103,Westlake North NC,0,0,0
209104,Westlake North NC,3.129,98,101.129
209200,Downtown Los Angeles NC,46.614,76,122.61
209300,Westlake South NC,77.085,0,77.085
209401,MacArthur Park NC,103.13,0,103.13
209402,Westlake South NC,53.9,0,53.9
209403,Westlake South NC,25.716,0,25.716
209510,MacArthur Park NC,98.365,0,98.365
209520,Westlake South NC,93.443,0,93.443
209810,Pico Union NC,4.3,0,4.3
209820,Pico Union NC,37.774,0,37.774
210010,Pico Union NC,90.902,0,90.902
211000,Greater Wilshire NC,9.331,27,36.331
211120,Rampart Village NC,90.237,7,97.237
211121,Rampart Village NC,140.1,0,140.1
211122,Rampart Village NC,123.47,0,123.47
211201,Wilshire Center-Koreatown NC,1.427,0,1.427
211202,Wilshire Center-Koreatown NC,11.762,0,11.762
211310,Wilshire Center-Koreatown NC,6.83,0,6.83
211320,Wilshire Center-Koreatown NC,4.331,0,4.331
211410,Wilshire Center-Koreatown NC,12.046,0,12.046
211420,Wilshire Center-Koreatown NC,3,0,3
211500,Greater Wilshire NC,2.873,0,2.873
211701,Greater Wilshire NC,6.09,0,6.09
211703,Greater Wilshire NC,5,0,5
211704,Greater Wilshire NC,18.982,0,18.982
211802,Wilshire Center-Koreatown NC,26.053,0,26.053
211803,Wilshire Center-Koreatown NC,1.873,0,1.873
211804,Wilshire Center-Koreatown NC,14.467,0,14.467
211910,Wilshire Center-Koreatown NC,1.701,0,1.701
211921,Wilshire Center-Koreatown NC,8.662,0,8.662
211922,Wilshire Center-Koreatown NC,0,0,0
212101,Wilshire Center-Koreatown NC,58.327,0,58.327
212102,Wilshire Center-Koreatown NC,29.357,0,29.357
212202,MacArthur Park NC,12.193,0,12.193
212203,MacArthur Park NC,35.313,0,35.313
212204,MacArthur Park NC,50.603,0,50.603
212303,Wilshire Center-Koreatown NC,20.683,0,20.683
